,page,country,rev_id,predictions,FIPS,Name,Type,TimeFrame,Data (M),Population,_merge
3,Julius Gregr,Czech Republic,395521877,Stub,,,,,,,left_only
4,Edvard Gregr,Czech Republic,395526568,Stub,,,,,,,left_only
29,Timoteo Menéndez,Salvadoran,566504165,Stub,,,,,,,left_only
31,Gervas Clay,Rhodesian,574571582,Stub,,,,,,,left_only
34,Mavua Mudima,"Congo, Dem. Rep. of",592289232,Stub,,,,,,,left_only
76,"List of members of the parliament of East Timor, 2001–07",East Timorese,638566016,Start,,,,,,,left_only
88,"List of members of the Løgting, 1974–78",Faroese,643932216,Start,,,,,,,left_only
89,"List of members of the Løgting, 1978–80",Faroese,643932220,Start,,,,,,,left_only
90,"List of members of the Løgting, 1980–84",Faroese,643932225,Start,,,,,,,left_only
91,"List of members of the Løgting, 1984–88",Faroese,643932226,Start,,,,,,,left_only
92,"List of members of the Løgting, 1990–94",Faroese,643932239,Start,,,,,,,left_only
93,"List of members of the Løgting, 1994–98",Faroese,643932242,Start,,,,,,,left_only
99,James Bisset (mayor),Cape Colony,647367482,Start,,,,,,,left_only
109,Augustus Joseph Tancred,Cape Colony,651250302,Stub,,,,,,,left_only
112,Johan Conrad Silberbauer,Cape Colony,653467222,Stub,,,,,,,left_only
131,List of provincial governors of the Democratic Republic of the Congo,"Congo, Dem. Rep. of",663088604,Stub,,,,,,,left_only
133,"List of members of the National Assembly (South Korea), 1950–54",South Korean,663348266,Stub,,,,,,,left_only
145,James Cotterell Hoole,Cape Colony,666596918,Stub,,,,,,,left_only
161,Harry Davies (politician),Rhodesian,669387487,Start,,,,,,,left_only
177,Patrick Goold,Cape Colony,670210734,Start,,,,,,,left_only
200,Toluono Feti,Samoan,671515606,Stub,,,,,,,left_only
215,Miroslav Poche,Czech Republic,672862914,Stub,,,,,,,left_only
216,Vojtěch Mynář,Czech Republic,673008587,Stub,,,,,,,left_only
221,Speaker of the Legislative Assembly of Montserrat,Montserratian,674919905,Stub,,,,,,,left_only
236,Andries Botha,Cape Colony,676828191,B,,,,,,,left_only
258,Joaquín Escolán y Balibrera,Salvadoran,679294949,Stub,,,,,,,left_only
270,Charles William Hutton,Cape Colony,680205631,C,,,,,,,left_only
272,Chairman of the Island Council (Pitcairn),Pitcairn Islands,680532939,Stub,,,,,,,left_only
286,William Fairbridge,Rhodesian,682576258,Start,,,,,,,left_only
323,Earl Asim Martin,Saint Kitts and Nevis,687127320,Stub,,,,,,,left_only
352,List of mayors of Radoviš,Macedonia,690088836,Stub,,,,,,,left_only
388,John Blades Currey,Cape Colony,693624260,Stub,,,,,,,left_only
401,Zaur Avidzba,Abkhazia,694519009,Start,,,,,,,left_only
499,"List of members of the Løgting, 1998–2002",Faroese,698865505,Start,,,,,,,left_only
570,José Abel,East Timorese,699698855,Stub,,,,,,,left_only
588,Tórbjørn Poulsen,Faroese,700400143,Stub,,,,,,,left_only
613,Demmus Hentze,Faroese,701771698,Start,,,,,,,left_only
644,Young Vivian,Niuean,703037968,Start,,,,,,,left_only
663,Noel Ahipeaud,Ivorian,703133769,Stub,,,,,,,left_only
694,Simon Jenko,Carniolan,703436823,Start,,,,,,,left_only
697,Park In-won,South Korean,703478926,Stub,,,,,,,left_only
716,Paul Southwell,Saint Kitts and Nevis,703666654,Start,,,,,,,left_only
724,Petrus Compton,Saint Lucian,703819839,Stub,,,,,,,left_only
745,Jan Malypetr,Czech Republic,704424304,Stub,,,,,,,left_only
781,Thomas François Burgers,South African Republic,704636517,C,,,,,,,left_only
791,Céleo Arias,Hondura,704789339,Stub,,,,,,,left_only
810,James Ah Koy,Samoan,704919844,B,,,,,,,left_only
814,Zaur Ardzinba,Abkhazia,704938340,Start,,,,,,,left_only
827,Emanuel Moravec,Czech Republic,705080136,Start,,,,,,,left_only
845,Va'aelua Eti Alesana,Samoan,705218371,Start,,,,,,,left_only
874,Juan Francisco de Molina,Hondura,705346284,Stub,,,,,,,left_only
875,Felipe Neri Medina,Hondura,705346304,Stub,,,,,,,left_only
876,Mariano Garrigó,Hondura,705346378,Stub,,,,,,,left_only
877,José María Bustillo (Honduran),Hondura,705346396,Stub,,,,,,,left_only
878,Francisco Gómez (acting president),Hondura,705346462,Stub,,,,,,,left_only
879,Salvador Aguirre (Honduras),Hondura,705346724,Stub,,,,,,,left_only
880,Francisco Bográn,Hondura,705346741,Stub,,,,,,,left_only
902,Fermín Palacios,Salvadoran,705353491,Stub,,,,,,,left_only
903,Eugenio Aguilar,Salvadoran,705353565,Stub,,,,,,,left_only
904,Tomás Medina,Salvadoran,705353584,Stub,,,,,,,left_only
905,Ramón Rodríguez (Salvadoran politician),Salvadoran,705353647,Stub,,,,,,,left_only
906,Vicente Gómez,Salvadoran,705353678,Stub,,,,,,,left_only
907,Lorenzo Zepeda,Salvadoran,705353843,Stub,,,,,,,left_only
908,José María Peralta,Salvadoran,705353896,Stub,,,,,,,left_only
909,Francisco Menéndez,Salvadoran,705353975,Stub,,,,,,,left_only
910,Pedro José Escalón,Salvadoran,705354095,Stub,,,,,,,left_only
911,Fernando Figueroa,Salvadoran,705354112,Stub,,,,,,,left_only
912,Carlos Meléndez (politician),Salvadoran,705354212,Stub,,,,,,,left_only
929,Fabio Castillo Figueroa,Salvadoran,705385310,Stub,,,,,,,left_only
931,Eugène Diomi Ndongala Nzomambu,"Congo, Dem. Rep. of",705390654,Stub,,,,,,,left_only
979,Théophile Mbemba Fundu,"Congo, Dem. Rep. of",705707214,Stub,,,,,,,left_only
981,Ntumba Luaba,"Congo, Dem. Rep. of",705723187,Stub,,,,,,,left_only
982,Myra Ndjoku Manianga,"Congo, Dem. Rep. of",705723441,Stub,,,,,,,left_only
1042,Misa Telefoni Retzlaff,Samoan,706207837,Start,,,,,,,left_only
1153,Ricardo Montenegro,Salvadoran,706769596,Stub,,,,,,,left_only
1154,Vicente Flores,Incan,706771757,Stub,,,,,,,left_only
1167,Luagalau Levaula Kamu,Samoan,706804758,Stub,,,,,,,left_only
1176,Leafa Vitale,Samoan,706837234,Stub,,,,,,,left_only
1243,Khozh-Ahmed Noukhayev,Chechen,707217873,C,,,,,,,left_only
