,page,country,rev_id,predictions
14,List of politicians in Poland,Poland,516633096,NotFound
21,Tingtingru,Vanuatu,550682925,NotFound
51,Daud Arsala,Afghanistan,627547024,NotFound
75,Book:Two Political Biographies,India,636911471,NotFound
180,Dilaver Bey,Turkey,669987106,NotFound
204,Bharat Saud,Nepal,671484594,NotFound
287,Book:Australian Prime Ministers,Australia,680981536,NotFound
301,Robert Sych,Poland,684023803,NotFound
302,Marek Krzysztof Jeleniewski,Poland,684023859,NotFound
434,Khanzahi,Iran,696608092,NotFound
483,Narayani Datt Chataut,Nepal,698572327,NotFound
547,Mohammad Amjad,Pakistan,699260156,NotFound
736,Gomez das Mariñas,Spain,703773782,NotFound
1054,Valerio De Los Benidos,Cuba,706204833,NotFound
1183,Kamlesh Arya,Fiji,706810694,NotFound
1491,Book:Indian Politicians,India,708482569,NotFound
1532,Pierre-Luc Paquette,Canada,708813010,NotFound
1626,Khaled Aghbariyya,Israel,709508670,NotFound
1740,José Santos Marques,Portugal,710135228,NotFound
1770,Vladimir Shamakhov,Russia,710311600,NotFound
1867,Hazrat-U-Din,Afghanistan,710715953,NotFound
1960,Floydelia Diasen,Philippines,711224007,NotFound
1968,Panu Laturi,Finland,711288191,NotFound
2002,Michel Ximenes,France,711513274,NotFound
2125,I Gede Sumantara Ady Pratama,Indonesia,712411818,NotFound
2228,Łukasz Kowalski,Poland,712872338,NotFound
2229,Blanka Olszewska,Poland,712872421,NotFound
2230,Janusz Jerzy Drozdalski,Poland,712872473,NotFound
2231,Piotr Michał Trzaska,Poland,712872531,NotFound
2232,Anna Teresa Piórkowska,Poland,712873183,NotFound
2233,Edward Ignacy Hartwich,Poland,712873308,NotFound
2234,Lech Andrzej Zagłoba-Zygler,Poland,712873386,NotFound
2240,Elżbieta Teresa Rusielewicz,Poland,712878000,NotFound
2241,Adam Wojciech Fórmaniak,Poland,712878267,NotFound
2242,Zbigniew Józef Sobociński,Poland,712878343,NotFound
2243,Bernadeta Aldona Różańska-Majchrzak,Poland,712878396,NotFound
2245,Jarosław Wenderlich,Poland,712881543,NotFound
2246,Ewa Joanna Starosta,Poland,712881676,NotFound
2247,Stanisław Grodzicki (politician),Poland,712881741,NotFound
2248,Tadeusz Mirosław Kondrusiewicz,Poland,712881882,NotFound
2251,Wojciech Hieronim Nowacki,Poland,712889562,NotFound
2252,Jacek Rosół,Poland,712889594,NotFound
2253,Tomasz Jan Rega,Poland,712889683,NotFound
